Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
109	:	1758635648.043	     7.654	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 108 --silence-mode
111	:	1758635649.559	     6.986	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 110 --silence-mode
112	:	1758635651.383	     7.045	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 111 --silence-mode
113	:	1758635652.028	     6.818	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 112 --silence-mode
115	:	1758635652.277	     7.562	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 114 --silence-mode
116	:	1758635652.587	     7.796	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 115 --silence-mode
114	:	1758635652.134	     8.325	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 113 --silence-mode
117	:	1758635653.471	     7.302	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 116 --silence-mode
118	:	1758635653.808	     7.326	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 117 --silence-mode
119	:	1758635654.072	     7.072	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 118 --silence-mode
120	:	1758635655.079	     6.592	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 119 --silence-mode
121	:	1758635655.361	     7.378	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 120 --silence-mode
122	:	1758635655.701	     7.377	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 121 --silence-mode
123	:	1758635656.553	     6.628	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 122 --silence-mode
124	:	1758635658.431	     7.311	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 123 --silence-mode
125	:	1758635658.850	     7.222	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 124 --silence-mode
126	:	1758635659.843	     6.861	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 125 --silence-mode
127	:	1758635660.387	     6.782	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 126 --silence-mode
128	:	1758635660.462	     6.828	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 127 --silence-mode
129	:	1758635660.777	     6.970	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 128 --silence-mode
130	:	1758635661.139	     6.996	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 129 --silence-mode
131	:	1758635661.149	     7.233	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 130 --silence-mode
132	:	1758635661.676	     6.982	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 131 --silence-mode
134	:	1758635663.082	     6.601	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 133 --silence-mode
135	:	1758635663.187	     6.792	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 134 --silence-mode
133	:	1758635662.743	     7.445	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 132 --silence-mode
136	:	1758635665.745	     6.420	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 135 --silence-mode
137	:	1758635666.076	     6.783	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 136 --silence-mode
139	:	1758635667.173	     7.105	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 138 --silence-mode
138	:	1758635666.709	     7.777	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 137 --silence-mode
141	:	1758635667.752	     7.079	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 140 --silence-mode
142	:	1758635668.141	     7.046	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 141 --silence-mode
143	:	1758635668.388	     7.789	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 142 --silence-mode
140	:	1758635667.294	     8.888	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 139 --silence-mode
145	:	1758635669.687	     6.675	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 144 --silence-mode
146	:	1758635669.984	     6.686	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 145 --silence-mode
144	:	1758635668.663	     8.804	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 143 --silence-mode
